artist_name,track_name,track_url
Audrey Gallagher,I Believe,https://open.spotify.com/album/1HwbSEUBNcAJTMr4VNW3mF?si=XIoV-8jlSy-1nIH1bg8eiA 
Audrey Gallagher,This Is Life,https://open.spotify.com/album/05Slzl3uKlPszNChroKn5O?si=lRV2GPz8R7m-tPj-C7X3Ew 
Audrey Gallagher,Let In The Light,https://open.spotify.com/album/45reeLKdCO2E7EBUQcYHFk?si=3z_K1mQLSPuMHYiuhQv5kg 
Audrey Gallagher,Breathe Again,https://open.spotify.com/album/0bTkYQPZJtNBw4yt8TwzeP?si=4hXMwMDlSAuuY9kSYpRFTA 
Audrey Gallagher,Skin Deep,https://open.spotify.com/album/7BDNSoplxmTnoOurxjtkpM?si=XU0elC78Qr28EkWX93LkBw 
Audrey Gallagher,Say My Name,https://open.spotify.com/album/4vDLGEtQ4EcXW0lACm5B5W?si=nX0VTVR6TcGKbRKX0HrIqA 
Audrey Gallagher,In This Moment,https://open.spotify.com/album/1K7IB5JRyImF40f0ezfXC8?si=J0-aiA5gQfiD2ukfDnju0w 
Audrey Gallagher,Our Way Home,https://open.spotify.com/album/75nE3L0rz22DRWMRM2Jgv5?si=oIcHriKVSz-rlvf6aAYxcg 
Audrey Gallagher,Bring Back The Sun,https://open.spotify.com/album/6QGmhoiHNy8Uwv4yosgbgd?si=ytEjJlxcR0q0yp1Zf3mNNQ 
Sarah Howells,Silhouettes,https://open.spotify.com/track/0HdWCQyhyEhfm8xDCdfMdr?si=15ce151a5acd42e3 
Sarah Howells,Company,https://open.spotify.com/album/2rs8JTQGAfEFB9ayKqH53K?si=uEdGGciwQ2it93FPP1gtjw 
Meredith Call,Bring Me Back Around,https://open.spotify.com/track/6k9FSD8x6ctOKMHlICBlyw?si=6854f3626c164e22 
Meredith Call,The Dark,https://open.spotify.com/track/7d09kwL14tjdQwDymaIrjD?si=60a93a3a6f8e4d96 
Aruna,Light As A Feather,https://open.spotify.com/track/0i59zu0geRXVw1zaPJCrxa?si=ec06f8e964714b7e 
Katherine Stenbekk,Coming Home,https://open.spotify.com/track/1V8B9nqYciZIEjEpe99S4s?si=268e35529ba94c28 
Kerry Leva,Don?t Let Me Go,https://open.spotify.com/track/3GFGXTkp1orHeUIZyimJyA?si=e3aa23daf7c94b13 
Janai,Running Away,https://open.spotify.com/track/2dV3JtJElrRbVyYlHVgUjJ?si=049791350ddf448a 
Katherine Stenbekk,We Know,https://open.spotify.com/track/5ujdrQIm5PHTbVxm3QVVJ2?si=17ff57954f924173 
Justine Suissa,Half The Man,https://open.spotify.com/track/07XfG336bQXsgVVkZTDrT1?si=d5f48221425a4382 
Meredith Call,Ahead Of The Storm,https://open.spotify.com/track/07XfG336bQXsgVVkZTDrT1?si=d5f48221425a4382 
Ashley Tomberlin,When You Loved Me,https://open.spotify.com/track/2mVbkQsi1RM2nTUCXlrMNC?si=13c53cf5d7fa4364 
Kerry Leva,Boron,https://open.spotify.com/track/4eFJFtIa3BvVphMJyVLsFy?si=84353925e5b1444a 
Boom Jinx,Breathing,https://open.spotify.com/album/2iriCUVPYMoO4w0fYz5CPH?si=RJu_7JxRSLymF1TLNHsGsA 
